connection name,from node,to node
0_,FSI_0,FSI_0
1_,FSI_0,D1STR_0_0
2_,FSI_0,D1STR_1_0
3_,FSI_0,D2STR_0_0
4_,FSI_0,D2STR_1_0
5_,LIPI_0,LIP_0_0
6_,LIPI_0,LIP_1_0
7_,LIPI_0,LIPI_0
8_,GPi_0_0,Th_0_0
9_,GPi_1_0,Th_1_0
10_,STNE_0_0,GPeP_0_0
11_,STNE_0_0,GPeP_0_0
12_,STNE_0_0,GPi_0_0
13_,STNE_0_0,GPi_1_0
14_,STNE_1_0,GPeP_1_0
15_,STNE_1_0,GPeP_1_0
16_,STNE_1_0,GPi_0_0
17_,STNE_1_0,GPi_1_0
18_,GPeP_0_0,GPeP_0_0
19_,GPeP_0_0,GPeP_1_0
20_,GPeP_0_0,STNE_0_0
21_,GPeP_0_0,GPi_0_0
22_,GPeP_1_0,GPeP_0_0
23_,GPeP_1_0,GPeP_1_0
24_,GPeP_1_0,STNE_1_0
25_,GPeP_1_0,GPi_1_0
26_,D1STR_0_0,D1STR_0_0
27_,D1STR_0_0,D2STR_0_0
28_direct,D1STR_0_0,GPi_0_0
29_,D1STR_1_0,D1STR_1_0
30_,D1STR_1_0,D2STR_1_0
31_direct,D1STR_1_0,GPi_1_0
32_,D2STR_0_0,D2STR_0_0
33_,D2STR_0_0,D1STR_0_0
34_indirect,D2STR_0_0,GPeP_0_0
35_,D2STR_1_0,D2STR_1_0
36_,D2STR_1_0,D1STR_1_0
37_indirect,D2STR_1_0,GPeP_1_0
38_cxd,LIP_0_0,D1STR_0_0
39_cxd,LIP_0_0,D1STR_0_0
40_cxi,LIP_0_0,D2STR_0_0
41_cxi,LIP_0_0,D2STR_0_0
42_cxfsi,LIP_0_0,FSI_0
43_,LIP_0_0,Th_0_0
44_,LIP_0_0,Th_1_0
45_,LIP_0_0,Th_0_0
46_,LIP_0_0,Th_1_0
47_,LIP_0_0,LIP_0_0
48_,LIP_0_0,LIP_1_0
49_,LIP_0_0,LIP_0_0
50_,LIP_0_0,LIP_1_0
51_,LIP_0_0,LIPI_0
52_,LIP_0_0,LIPI_0
53_cxd,LIP_1_0,D1STR_1_0
54_cxd,LIP_1_0,D1STR_1_0
55_cxi,LIP_1_0,D2STR_1_0
56_cxi,LIP_1_0,D2STR_1_0
57_cxfsi,LIP_1_0,FSI_0
58_,LIP_1_0,Th_0_0
59_,LIP_1_0,Th_1_0
60_,LIP_1_0,Th_0_0
61_,LIP_1_0,Th_1_0
62_,LIP_1_0,LIP_0_0
63_,LIP_1_0,LIP_1_0
64_,LIP_1_0,LIP_0_0
65_,LIP_1_0,LIP_1_0
66_,LIP_1_0,LIPI_0
67_,LIP_1_0,LIPI_0
68_,Th_0_0,D1STR_0_0
69_,Th_0_0,D2STR_0_0
70_,Th_0_0,FSI_0
71_thcx,Th_0_0,LIP_0_0
72_thcx,Th_0_0,LIP_1_0
73_thcxi,Th_0_0,LIPI_0
74_,Th_1_0,D1STR_1_0
75_,Th_1_0,D2STR_1_0
76_,Th_1_0,FSI_0
77_thcx,Th_1_0,LIP_0_0
78_thcx,Th_1_0,LIP_1_0
79_thcxi,Th_1_0,LIPI_0
